Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189385,11.390243902439025,0.068605505,-3.4346709882374853,-3.4346709882374853,1.0
1000,1.4189385,11.048780487804878,0.09567009,-3.5908829774229956,-3.5908829774229956,1.0
1500,1.4189383,10.56,0.026578251,-3.4317538014480045,-3.4317538014480045,1.0
2000,1.4189386,12.948717948717949,0.12131138,-4.037909446618496,-4.037909446618496,1.0
2500,1.4189385,16.435897435897434,0.053600047,-3.8089940642055713,-3.8089940642055713,1.0
3000,1.4189383,10.615384615384615,0.084858544,-3.736382307532506,-3.736382307532506,1.0
3500,1.4189383,11.542857142857143,0.05224234,-4.327560314701663,-4.327560314701663,1.0
4000,1.4189385,12.659090909090908,0.08473381,-3.879031309902313,-3.879031309902313,1.0
4500,1.4189384,11.724137931034482,0.07197536,-4.5805592397848764,-4.5805592397848764,1.0
5000,1.4189385,15.757575757575758,0.041910127,-3.7575064047638858,-3.7575064047638858,1.0
5500,1.4189385,10.214285714285714,0.03741557,-4.493300769387222,-4.493300769387222,1.0
6000,1.4189384,9.333333333333334,0.08454289,-3.5032795950689395,-3.5032795950689395,1.0
6500,1.4189383,11.333333333333334,0.01956067,-3.340831825366387,-3.340831825366387,1.0
7000,1.4189385,12.973684210526315,0.11840941,-3.9788305215738915,-3.9788305215738915,1.0
7500,1.4189384,19.0,0.07955133,-3.478095820311595,-3.478095820311595,1.0
8000,1.4189385,15.10344827586207,0.10607918,-4.167607095734827,-4.167607095734827,1.0
8500,1.4189384,14.625,0.09747947,-3.4365642559714615,-3.4365642559714615,1.0
9000,1.4189385,10.78125,0.12122256,-3.4340091032641276,-3.4340091032641276,1.0
9500,1.4189384,16.2,0.061054636,-4.028619319440857,-4.028619319440857,1.0
10000,1.4189385,14.736842105263158,0.07896079,-4.00056434040134,-4.00056434040134,1.0
10500,1.4188424,12.581395348837209,-0.3161991,-3.5865234853448094,-3.5865234853448094,1.0
11000,1.4181336,9.567567567567568,-0.5572158,-4.098505762219429,-4.098505762219429,1.0
11500,1.4181334,14.62962962962963,-0.40909147,-3.712943274814349,-3.712943274814349,1.0
12000,1.4181334,10.61111111111111,-0.54806036,-4.21889995352218,-4.21889995352218,1.0
12500,1.4181334,15.761904761904763,-0.4982864,-4.237400860303924,-4.237400860303924,1.0
13000,1.4181336,15.619047619047619,-0.3640098,-4.29835153222084,-4.29835153222084,1.0
13500,1.4181336,21.0,-0.53863525,-4.516434313108523,-4.516434313108523,1.0
14000,1.4181335,13.941176470588236,-0.4660211,-3.983701932761404,-3.983701932761404,1.0
14500,1.4181334,11.969696969696969,-0.60829437,-4.257109042369958,-4.257109042369958,1.0
15000,1.4181336,20.0,-0.4357076,-4.132865248868863,-4.132865248868863,1.0
15500,1.4181334,10.729166666666666,-0.5646474,-3.7795170644919076,-3.7795170644919076,1.0
16000,1.4181335,10.5,-0.5341613,-3.637891674363935,-3.637891674363935,1.0
16500,1.4181335,13.379310344827585,-0.48368207,-4.207424389739191,-4.207424389739191,1.0
17000,1.4181336,11.976190476190476,-0.5863744,-3.5613817045601404,-3.5613817045601404,1.0
17500,1.4181335,12.923076923076923,-0.56785953,-3.579495025559878,-3.579495025559878,1.0
18000,1.4181336,16.05263157894737,-0.55200297,-3.2130141840435757,-3.2130141840435757,1.0
18500,1.4181335,12.424242424242424,-0.45076376,-4.207677509635687,-4.207677509635687,1.0
19000,1.4181334,11.13888888888889,-0.61403996,-4.029758956087263,-4.029758956087263,1.0
19500,1.4181334,11.894736842105264,-0.50609654,-3.5362591018547884,-3.5362591018547884,1.0
20000,1.4181337,12.022222222222222,-0.663368,-3.9676372418585033,-3.9676372418585033,1.0
20500,1.4181334,10.820512820512821,-0.5037788,-3.794264343380928,-3.794264343380928,1.0
21000,1.4172374,12.175,-1.2144871,-4.461128963202965,-4.461128963202965,1.0
21500,1.4167348,11.026315789473685,-1.1588727,-4.215637124888599,-4.215637124888599,1.0
22000,1.4167348,9.875,-1.1589838,-3.601668977155918,-3.601668977155918,1.0
22500,1.4167349,20.956521739130434,-0.822726,-3.2445990125770154,-3.2445990125770154,1.0
23000,1.4167348,12.689655172413794,-0.87237126,-3.7683250571811393,-3.7683250571811393,1.0
23500,1.4167348,17.161290322580644,-1.0101944,-3.9234819824341685,-3.9234819824341685,1.0
24000,1.4167348,11.757575757575758,-1.0996692,-4.049938138893673,-4.049938138893673,1.0
24500,1.4167348,15.392857142857142,-0.93845934,-3.1031809315599244,-3.1031809315599244,1.0
25000,1.4167347,10.22,-1.1839643,-4.018039810642296,-4.018039810642296,1.0
25500,1.4167348,9.395833333333334,-1.3197097,-3.8983862286355966,-3.8983862286355966,1.0
26000,1.4167348,14.148148148148149,-0.8676791,-3.8954107894979675,-3.8954107894979675,1.0
26500,1.4167348,11.551724137931034,-1.0318074,-4.258774685008185,-4.258774685008185,1.0
27000,1.4167348,17.28125,-1.0555061,-3.7038131172166153,-3.7038131172166153,1.0
27500,1.4167347,13.06060606060606,-1.055679,-4.00395377341545,-4.00395377341545,1.0
28000,1.4167347,15.125,-0.9253536,-3.980778966952736,-3.980778966952736,1.0
28500,1.4167349,24.846153846153847,-1.1718042,-4.505512509208459,-4.505512509208459,1.0
29000,1.4167348,11.693877551020408,-1.2939601,-3.9119575245648015,-3.9119575245648015,1.0
29500,1.4167348,10.30952380952381,-1.1220751,-3.956139684416527,-3.956139684416527,1.0
30000,1.4167348,11.833333333333334,-1.0866202,-3.8177914617174284,-3.8177914617174284,1.0
30500,1.4167348,13.36111111111111,-0.94003785,-3.8860769953046526,-3.8860769953046526,1.0
31000,1.4163363,8.969696969696969,-1.1202024,-3.3073971863178646,-3.3073971863178646,1.0
31500,1.4158183,15.333333333333334,-2.059993,-4.135427913495472,-4.135427913495472,1.0
32000,1.4158183,14.257142857142858,-1.6436349,-3.92994679357761,-3.92994679357761,1.0
32500,1.4158185,17.63157894736842,-1.3050907,-4.379784712665959,-4.379784712665959,1.0
33000,1.4158183,15.783783783783784,-1.6437179,-4.3637111485004425,-4.3637111485004425,1.0
33500,1.4158185,13.13953488372093,-1.46079,-3.575221739536108,-3.575221739536108,1.0
34000,1.4158185,10.9,-1.2391813,-3.464945454398791,-3.464945454398791,1.0
34500,1.4158186,15.666666666666666,-1.7356584,-3.9487390319506326,-3.9487390319506326,1.0
35000,1.4158185,10.944444444444445,-1.367867,-3.7282755970954895,-3.7282755970954895,1.0
35500,1.4158183,16.451612903225808,-1.5659288,-3.9152227620283764,-3.9152227620283764,1.0
36000,1.4158183,13.26923076923077,-1.4174361,-4.123102164930767,-4.123102164930767,1.0
36500,1.4158182,15.652173913043478,-1.2248241,-3.785127112865448,-3.785127112865448,1.0
37000,1.4158183,17.785714285714285,-1.703459,-3.047883743144296,-3.047883743144296,1.0
37500,1.4158185,10.867924528301886,-2.0981116,-3.9561134115965277,-3.9561134115965277,1.0
38000,1.4158186,12.782608695652174,-1.4550794,-4.371812582015991,-4.371812582015991,1.0
38500,1.4158183,18.37037037037037,-1.4173101,-3.64291313290596,-3.64291313290596,1.0
