Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189384,55.55555555555556,-0.17528501,-1.0,-1.0,1.0
1000,1.4189386,74.42857142857143,-0.15538003,-0.5857142720903669,-0.5857142720903669,1.0
1500,1.4189385,93.2,-0.20162764,1.5800003051757812,1.5800003051757812,1.0
2000,1.4189385,61.25,-0.0745605,-0.7999999940395355,-0.7999999940395355,1.0
2500,None,None,-0.06601004,None,None,1.0
3000,1.4189384,86.0,-0.22241804,-0.4625000134110451,-0.4625000134110451,1.0
3500,1.4189383,100.72727272727273,-0.13902979,0.011111143562528823,0.011111143562528823,1.0
4000,1.4189385,69.25,-0.31673327,1.4428572356700897,1.4428572356700897,1.0
4500,1.4189385,63.5,-0.045880184,-1.0,-1.0,1.0
5000,1.4189385,102.0,-0.33167768,-0.5,-0.5,1.0
5500,1.4199339,126.4,-0.4180733,1.6200003147125244,1.6200003147125244,1.0
6000,1.4200815,118.66666666666667,-0.381843,0.27142859782491413,0.27142859782491413,1.0
6500,1.4200814,108.8,-0.24305917,1.200000286102295,1.200000286102295,1.0
7000,1.4200814,52.0,-0.1433165,-0.125,-0.125,1.0
7500,1.4200815,103.75,-0.17114148,-0.9666666587193807,-0.9666666587193807,1.0
8000,1.4200814,100.0,-0.11891022,-0.5,-0.5,1.0
8500,1.4200814,107.125,-0.27966556,0.8000001245074801,0.8000001245074801,1.0
9000,1.4200813,57.666666666666664,-0.07993375,-1.0,-1.0,1.0
9500,1.4200813,94.5,-0.14652817,-0.8999999985098839,-0.8999999985098839,1.0
10000,1.4200813,94.75,-0.30123955,-0.08571420397077288,-0.08571420397077288,1.0
10500,1.4165281,93.0,-0.2348223,-0.9166666703919569,-0.9166666703919569,1.0
11000,1.4136373,101.0,-0.23391466,-0.6666666666666666,-0.6666666666666666,1.0
11500,1.4136373,109.16666666666667,-0.37066033,-0.8,-0.8,1.0
12000,1.4136373,117.4,-0.24739875,0.20000001788139343,0.20000001788139343,1.0
12500,1.4136373,91.83333333333333,-0.29628676,-0.4166666666666667,-0.4166666666666667,1.0
13000,1.4136374,106.75,-0.23198438,-0.7333333293596903,-0.7333333293596903,1.0
13500,1.4136373,85.5,-0.18743718,1.8000000715255737,1.8000000715255737,1.0
14000,1.4136373,103.44444444444444,-0.32366416,0.8250000551342964,0.8250000551342964,1.0
14500,1.4136373,119.0,-0.37706736,-0.4,-0.4,1.0
15000,1.4136373,155.5,-0.03543815,-0.5,-0.5,1.0
