Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189385,8.863636363636363,-0.09897504,-1.8346122250976888,-1.8346122250976888,1.0
1000,1.4189383,8.446808510638299,-0.014816904,-1.8426841927769904,-1.8426841927769904,1.0
1500,1.4189384,12.482758620689655,-0.12376957,-1.828455120517776,-1.828455120517776,1.0
2000,1.4189385,9.0,-0.29904294,-1.7055767160755666,-1.7055767160755666,1.0
2500,1.4189384,15.1,-0.09449389,-1.877800417252076,-1.877800417252076,1.0
3000,1.4189385,12.756756756756756,-0.19152133,-1.8359933287287369,-1.8359933287287369,1.0
3500,1.4189383,12.472222222222221,-0.28841323,-1.825776278662185,-1.825776278662185,1.0
4000,1.4189383,8.975609756097562,-0.26558587,-1.8162597110938459,-1.8162597110938459,1.0
4500,1.4189383,12.647058823529411,-0.19243234,-1.905314807780087,-1.905314807780087,1.0
5000,1.4189383,14.323529411764707,-0.25503558,-1.688999076736056,-1.688999076736056,1.0
5500,1.4189384,13.885714285714286,-0.13277684,-1.7718860502872202,-1.7718860502872202,1.0
6000,1.4189383,8.708333333333334,-0.040792767,-1.8907156176104838,-1.8907156176104838,1.0
6500,1.4189383,11.951219512195122,-0.13276668,-1.8412476673994849,-1.8412476673994849,1.0
7000,1.4189385,8.051282051282051,-0.18284468,-1.7611201646306165,-1.7611201646306165,1.0
7500,1.4189384,10.696969696969697,-0.24085371,-1.7508110875154244,-1.7508110875154244,1.0
8000,1.4189384,16.972972972972972,-0.1290938,-1.744693000121294,-1.744693000121294,1.0
8500,1.4189384,10.619047619047619,-0.15099852,-1.707546344913897,-1.707546344913897,1.0
9000,1.4189384,11.175,-0.10035395,-1.89536106550112,-1.89536106550112,1.0
9500,1.4189383,13.676470588235293,-0.13965046,-1.625121923855373,-1.625121923855373,1.0
10000,1.4189383,14.03225806451613,-0.10963592,-1.6873789693927392,-1.6873789693927392,1.0
10500,1.4182833,8.92156862745098,-0.4694789,-1.7638053305666237,-1.7638053305666237,1.0
11000,1.4169654,11.733333333333333,-0.46445265,-1.910510522849632,-1.910510522849632,1.0
11500,1.4169652,14.0,-0.49297675,-1.8401655419507907,-1.8401655419507907,1.0
12000,1.4169652,13.464285714285714,-0.36140403,-1.8282500731875189,-1.8282500731875189,1.0
12500,1.4169654,17.5,-0.30234465,-1.640518627986312,-1.640518627986312,1.0
13000,1.4169654,9.717948717948717,-0.42936376,-1.8794331771249955,-1.8794331771249955,1.0
13500,1.4169654,15.142857142857142,-0.45941544,-1.70321662048144,-1.70321662048144,1.0
14000,1.4169652,11.228571428571428,-0.50995535,-1.9291898359855015,-1.9291898359855015,1.0
14500,1.4169654,14.935483870967742,-0.34935436,-1.7929317841246244,-1.7929317841246244,1.0
15000,1.4169652,12.871794871794872,-0.37500456,-1.72459702398628,-1.72459702398628,1.0
15500,1.4169654,12.63888888888889,-0.47527885,-1.8427739234434233,-1.8427739234434233,1.0
16000,1.4169654,15.571428571428571,-0.23821062,-1.634548778246556,-1.634548778246556,1.0
16500,1.4169654,13.379310344827585,-0.20535094,-1.643774377182126,-1.643774377182126,1.0
17000,1.4169654,19.03448275862069,-0.51375026,-1.8653199539102356,-1.8653199539102356,1.0
17500,1.4169654,11.787878787878787,-0.3778491,-1.7778535474091768,-1.7778535474091768,1.0
18000,1.4169654,17.419354838709676,-0.29102623,-1.7605161604381376,-1.7605161604381376,1.0
