Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
718500,1.3540374,10.05,-0.5290634,-1.8474823892116548,-1.8474823892116548,1.0
719000,1.3540374,4.8,-0.16404703,-3.7344323992729187,-3.7344323992729187,1.0
719500,1.3540375,18.2,0.034601055,-0.49403995275497437,-0.49403995275497437,1.0
720000,1.3540373,34.90909090909091,-0.2781567,0.4706452816724777,0.4706452816724777,1.0
720500,1.3540374,16.0,0.036797788,3.3459513187408447,3.3459513187408447,1.0
721000,1.3540375,5.0,0.009701498,-3.1999173164367676,-3.1999173164367676,1.0
721500,1.3540374,140.5,-0.0052540204,3.9326616413891315,3.9326616413891315,1.0
722000,1.3540374,None,-0.046248734,None,None,1.0
722500,1.3540375,None,0.02949631,None,None,1.0
723000,1.3540374,120.0,-0.04578773,3.7279928028583527,3.7279928028583527,1.0
723500,1.3540374,224.0,-0.07509397,3.6359800957143307,3.6359800957143307,1.0
724000,1.3540376,195.5,-0.015420941,4.168769285082817,4.168769285082817,1.0
724500,1.3540374,182.66666666666666,-0.04822747,4.5567945108438535,4.5567945108438535,1.0
725000,1.3540376,None,-0.058019,None,None,1.0
725500,1.3540373,54.0,-0.013550548,4.757942318916321,4.757942318916321,1.0
726000,1.3540376,7.0,-0.07507057,-1.060829520225525,-1.060829520225525,1.0
726500,1.3540376,None,-0.04026447,None,None,1.0
727000,1.3540375,None,-0.054885276,None,None,1.0
727500,1.3540374,400.0,-0.09236243,0.6724213492125273,0.6724213492125273,1.0
728000,1.3540374,279.4,-0.17793763,0.6127983356826008,0.6127983356826008,1.0
728500,1.3540114,328.25,-0.021082144,-0.47377010341733694,-0.47377010341733694,1.0
729000,1.3536578,209.0,0.032973982,2.4304792273789646,2.4304792273789646,1.0
729500,1.3536581,178.66666666666666,0.036840636,2.0380917911728225,2.0380917911728225,1.0
730000,1.3536578,315.5,0.024695173,2.8330067293718457,2.8330067293718457,1.0
730500,1.3536581,121.16666666666667,-0.015354129,0.22516335919499397,0.22516335919499397,1.0
731000,1.3536578,147.25,0.036410183,3.532670695800334,3.532670695800334,1.0
731500,1.3536578,51.0,0.07306911,5.233917593955994,5.233917593955994,1.0
732000,1.3536578,140.0,0.06672286,4.801011590752751,4.801011590752751,1.0
732500,1.3536581,67.0,-0.000821689,4.240715861320496,4.240715861320496,1.0
