Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
50000,1.7737497,32.732453092425295,0.0074988035,0.012534818941504178,0.012534818941504178,0.0035573815,0.072467715,0.00029622376,1.0
100000,1.7061163,35.18324607329843,0.042878587,0.058208955223880594,0.058208955223880594,0.0063573206,0.066986725,0.00028905278,1.0
150000,1.5455221,30.974341661039837,0.14751641,0.16790289952798382,0.16790289952798382,0.01912031,0.06771992,0.00028149708,1.0
200000,1.4202545,29.588620013080444,0.23864254,0.31437908496732025,0.31437908496732025,0.029281393,0.07207562,0.00027394714,1.0
250000,1.3125755,28.810828025477708,0.43222648,0.5127226463104325,0.5127226463104325,0.03405335,0.07190504,0.00026638858,1.0
300000,1.2547917,27.92535471930907,0.5339158,0.65,0.65,0.03088436,0.07099657,0.00025885162,1.0
350000,1.1860243,27.84009840098401,0.6399214,0.7738168408113092,0.7738168408113092,0.023063762,0.06747896,0.00025132133,1.0
400000,1.1201243,27.41600970285021,0.73970556,0.8539393939393939,0.8539393939393939,0.01598033,0.067636244,0.00024379557,1.0
450000,1.0767721,27.258142340168877,0.7827821,0.902291917973462,0.902291917973462,0.011531314,0.067265995,0.00023625635,1.0
500000,1.0176114,26.918257756563246,0.8024602,0.9206443914081146,0.9206443914081146,0.0092128925,0.07018031,0.0002287107,1.0
550000,0.98247516,26.904818560380726,0.8263449,0.9482758620689655,0.9482758620689655,0.0068605305,0.06912944,0.00022116734,1.0
600000,0.94360405,26.882212968471148,0.82952833,0.9494949494949495,0.9494949494949495,0.00602193,0.06936514,0.00021363267,1.0
650000,0.91313845,26.725710900473935,0.8366759,0.9556213017751479,0.9556213017751479,0.005061121,0.069549896,0.00020610043,1.0
700000,0.8827642,26.900118906064208,0.84026754,0.9648809523809524,0.9648809523809524,0.0042446135,0.068445794,0.000198552,1.0
750000,0.87880504,26.831747919143876,0.8414325,0.9696789536266349,0.9696789536266349,0.0039539947,0.06627508,0.0001910205,1.0
800000,0.8587546,26.78994082840237,0.8541547,0.9739336492890995,0.9739336492890995,0.0031188678,0.07113686,0.00018347564,1.0
850000,0.8374511,26.760728982951207,0.8579229,0.9798935541099941,0.9798935541099941,0.0023668515,0.06970071,0.00017593444,1.0
900000,0.8292734,26.71504424778761,0.8579101,0.9875666074600356,0.9875666074600356,0.0018206919,0.07060959,0.00016839374,1.0
