Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189386,63.77777777777778,-0.026492657,-1.0,-1.0,1.0
1000,1.4189384,40.0,-0.0785892,-1.0,-1.0,1.0
1500,1.4189385,None,-0.14612696,None,None,1.0
2000,1.4189385,None,0.07337412,None,None,1.0
2500,1.4189385,138.0,-0.1319356,None,None,1.0
3000,1.4189384,131.2,-0.08246961,-1.0,-1.0,1.0
3500,1.4189384,195.0,0.12675433,-1.0,-1.0,1.0
4000,1.4189385,105.75,-0.07136152,-1.0,-1.0,1.0
4500,1.4189385,162.0,-0.15243618,-1.0,-1.0,1.0
5000,1.4189385,None,-0.08322705,None,None,1.0
5500,1.4204177,147.33333333333334,-0.11274579,-1.0,-1.0,1.0
6000,1.4224647,79.0,-0.08465337,-0.9500000029802322,-0.9500000029802322,1.0
6500,1.4224647,180.25,-0.10556928,-1.0,-1.0,1.0
7000,1.4224647,136.0,-0.07146227,-1.0,-1.0,1.0
7500,1.4224647,224.5,-0.00093896984,15.50000262260437,15.50000262260437,1.0
8000,1.4224646,None,0.086480394,None,None,1.0
8500,1.4224648,162.0,0.033764735,-1.0,-1.0,1.0
9000,1.4224646,240.0,-0.047496803,-1.0,-1.0,1.0
9500,1.4224647,131.25,-0.051999737,-0.6799999952316285,-0.6799999952316285,1.0
10000,1.4224647,191.0,-0.13026209,0.5333333412806193,0.5333333412806193,1.0
10500,1.4198222,199.0,-0.11572254,-1.0,-1.0,1.0
11000,1.4186248,None,0.32417497,-1.0,-1.0,1.0
11500,1.4186248,191.66666666666666,0.0354053,-1.0,-1.0,1.0
12000,1.4186248,120.5,-0.1429624,-1.0,-1.0,1.0
12500,1.4186248,197.5,0.013032518,-1.0,-1.0,1.0
13000,1.4186248,59.0,-0.15048371,-0.8499999940395355,-0.8499999940395355,1.0
13500,1.4186248,121.5,-0.072025366,-0.10000002384185791,-0.10000002384185791,1.0
14000,1.4186248,105.0,0.20053284,-0.949999988079071,-0.949999988079071,1.0
14500,1.4186248,214.5,0.21529274,-0.8499999940395355,-0.8499999940395355,1.0
15000,1.4186248,181.0,-0.101464055,-1.0,-1.0,1.0
15500,1.4184812,68.0,-0.04276456,-1.0,-1.0,1.0
16000,1.4182589,456.6666666666667,-0.04747566,-0.5,-0.5,1.0
16500,1.4182588,98.66666666666667,-0.17852074,-1.0,-1.0,1.0
17000,1.4182588,None,0.58755493,None,None,1.0
17500,1.4182588,132.0,-0.07438824,-1.0,-1.0,1.0
18000,1.4182589,125.8,-0.16280906,-0.6499999761581421,-0.6499999761581421,1.0
18500,1.4182589,46.333333333333336,-0.2549187,-1.0,-1.0,1.0
19000,1.4182588,32.0,-0.19414519,-1.0,-1.0,1.0
19500,1.4182588,None,-0.04447786,None,None,1.0
20000,1.4182589,271.75,-0.020505292,0.8000001907348633,0.8000001907348633,1.0
20500,1.4181243,None,0.30656266,None,None,1.0
21000,1.4183294,484.5,0.0013783947,0.20000004768371582,0.20000004768371582,1.0
21500,1.4183294,121.5,-0.1537836,-1.0,-1.0,1.0
22000,1.4183294,462.0,0.08516803,-1.0,-1.0,1.0
22500,1.4183294,91.33333333333333,-0.21292545,-1.0,-1.0,1.0
23000,1.4183294,578.25,0.03997581,-0.5,-0.5,1.0
23500,1.4183294,54.0,0.038500678,-1.0,-1.0,1.0
24000,1.4183294,89.2,-0.12971371,-0.1,-0.1,1.0
24500,1.4183292,160.5,-0.21527274,3.9000003337860107,3.9000003337860107,1.0
25000,1.4183294,243.33333333333334,-0.110540345,10.550001382827759,10.550001382827759,1.0
25500,1.4183294,None,-0.032225862,-0.09999999403953552,-0.09999999403953552,1.0
26000,1.4176244,159.5,-0.2230265,-1.0,-1.0,1.0
