Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189385,10.485714285714286,-0.056756753,-3.946101117134094,-3.946101117134094,1.0
1000,1.4189383,14.347826086956522,-0.0009111138,-3.743416936447223,-3.743416936447223,1.0
1500,1.4189384,16.35135135135135,-0.027790701,-3.927336525171995,-3.927336525171995,1.0
2000,1.4189385,16.90909090909091,-0.008988094,-3.1304937000527526,-3.1304937000527526,1.0
2500,1.4189383,15.464285714285714,0.00935306,-3.9536551559536623,-3.9536551559536623,1.0
3000,1.4189384,11.564102564102564,-0.0047469153,-4.134663059543341,-4.134663059543341,1.0
3500,1.4189385,8.14,0.0046997196,-3.78340337138623,-3.78340337138623,1.0
4000,1.4189383,11.54054054054054,-0.030335352,-4.030897684003177,-4.030897684003177,1.0
4500,1.4189383,20.615384615384617,-0.0065529873,-3.934304865506979,-3.934304865506979,1.0
5000,1.4189384,11.217391304347826,-0.13116218,-3.684630839492787,-3.684630839492787,1.0
5500,1.4189383,10.23076923076923,0.018956082,-3.302456407285318,-3.302456407285318,1.0
6000,1.4189384,9.673469387755102,-0.0060713952,-3.8053957456350327,-3.8053957456350327,1.0
6500,1.4189384,9.88888888888889,-0.040657483,-3.7602401624123254,-3.7602401624123254,1.0
7000,1.4189383,14.206896551724139,-0.038809124,-4.399910417096368,-4.399910417096368,1.0
7500,1.4189384,15.666666666666666,0.03452117,-4.007591489288542,-4.007591489288542,1.0
8000,1.4189383,9.894736842105264,-0.028160065,-3.789073025072484,-3.789073025072484,1.0
8500,1.4189384,18.862068965517242,0.04035863,-4.0117599532522,-4.0117599532522,1.0
9000,1.4189384,12.0,-0.058389142,-4.625628491863608,-4.625628491863608,1.0
9500,1.4189384,14.916666666666666,-0.05250559,-4.391348374386628,-4.391348374386628,1.0
10000,1.4189385,10.04,-0.08218929,-3.9980944657325743,-3.9980944657325743,1.0
10500,1.4188348,13.10344827586207,-0.19891357,-3.823608862942663,-3.823608862942663,1.0
11000,1.4183494,9.304347826086957,-0.65155786,-3.7817612018850113,-3.7817612018850113,1.0
11500,1.4183494,9.458333333333334,-0.7603745,-3.4497733694314956,-3.4497733694314956,1.0
12000,1.4183495,13.24390243902439,-0.5259454,-3.763441949477419,-3.763441949477419,1.0
12500,1.4183494,11.833333333333334,-0.7301466,-4.663551287769916,-4.663551287769916,1.0
13000,1.4183495,13.054054054054054,-0.5634156,-3.908712456103515,-3.908712456103515,1.0
13500,1.4183495,10.533333333333333,-0.54393846,-3.6331537485122682,-3.6331537485122682,1.0
14000,1.4183494,11.292682926829269,-0.75567967,-3.9004102939876115,-3.9004102939876115,1.0
14500,1.4183494,10.208333333333334,-0.6662548,-3.9938475501537325,-3.9938475501537325,1.0
15000,1.4183493,10.625,-0.5717563,-3.874354855010384,-3.874354855010384,1.0
15500,1.4183493,16.3,-0.634044,-3.8259752774611115,-3.8259752774611115,1.0
16000,1.4183494,14.571428571428571,-0.44566202,-2.665154708496162,-2.665154708496162,1.0
16500,1.4183495,11.027777777777779,-0.7243921,-4.1870760851436195,-4.1870760851436195,1.0
17000,1.4183493,9.466666666666667,-0.5537415,-3.729082175064832,-3.729082175064832,1.0
17500,1.4183495,15.64516129032258,-0.567196,-3.158719659317285,-3.158719659317285,1.0
18000,1.4183494,16.583333333333332,-0.5321893,-4.965808412267102,-4.965808412267102,1.0
18500,1.4183495,10.26530612244898,-0.6331443,-3.7093329869058667,-3.7093329869058667,1.0
19000,1.4183493,9.857142857142858,-0.63143164,-3.8083407572574086,-3.8083407572574086,1.0
19500,1.4183493,13.82857142857143,-0.5181421,-3.5447343085509013,-3.5447343085509013,1.0
20000,1.4183494,11.117647058823529,-0.45632634,-3.2975176319931494,-3.2975176319931494,1.0
20500,1.4182659,14.057692307692308,-0.5166845,-3.7756774172186853,-3.7756774172186853,1.0
