Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189384,35.857142857142854,-0.0012115372,-1.0,-1.0,1.0
1000,1.4189384,69.57142857142857,0.0066136154,0.05714287076677595,0.05714287076677595,1.0
1500,1.4189385,106.0,0.009114504,2.5800001859664916,2.5800001859664916,1.0
2000,None,33.0,0.008189484,-1.0,-1.0,1.0
2500,1.4189385,88.66666666666667,-0.024243502,-0.9000000059604645,-0.9000000059604645,1.0
3000,1.4189383,61.75,0.0024439918,0.2625000476837158,0.2625000476837158,1.0
3500,1.4189383,77.2,-0.021562247,-0.1999999980131785,-0.1999999980131785,1.0
4000,1.4189385,124.66666666666667,0.007147888,4.775000596418977,4.775000596418977,1.0
4500,1.4189383,39.111111111111114,-0.004444015,-0.9444444444444444,-0.9444444444444444,1.0
5000,1.4189384,78.5,-0.0039484287,0.30000007152557373,0.30000007152557373,1.0
5500,1.4198146,72.0,-0.10211472,-0.8333333333333334,-0.8333333333333334,1.0
6000,1.4208716,130.375,-0.05203646,1.442857333592006,1.442857333592006,1.0
6500,1.4208715,50.714285714285715,-0.00938734,-0.8571428486279079,-0.8571428486279079,1.0
7000,1.4208716,120.25,-0.07638216,0.4249999523162842,0.4249999523162842,1.0
7500,1.4208716,54.6,-0.051856212,0.5833333333333334,0.5833333333333334,1.0
8000,1.4208716,52.5,-0.11443807,-1.0,-1.0,1.0
8500,1.4208716,144.4,-0.15604532,-0.2399999976158142,-0.2399999976158142,1.0
9000,1.4208716,106.5,-0.039759643,0.26666675011316937,0.26666675011316937,1.0
9500,1.4208715,128.0,-0.057920963,-0.8,-0.8,1.0
10000,1.4208716,76.33333333333333,-0.023765886,-0.8,-0.8,1.0
10500,1.4192191,126.0,-0.06347532,-0.09999998410542806,-0.09999998410542806,1.0
11000,1.4180505,62.142857142857146,-0.20856923,-1.0,-1.0,1.0
11500,1.4180505,136.8,-0.092030495,1.380000114440918,1.380000114440918,1.0
12000,1.4180504,97.0,-0.10791425,-0.5,-0.5,1.0
12500,1.4180505,98.6,-0.21793045,-0.40000001589457196,-0.40000001589457196,1.0
13000,1.4180504,112.33333333333333,-0.103480875,-1.0,-1.0,1.0
13500,1.4180504,54.6,-0.10808306,-0.9200000047683716,-0.9200000047683716,1.0
14000,1.4180503,68.0,-0.357173,-0.7727272727272727,-0.7727272727272727,1.0
14500,1.4180504,43.0,-0.1694647,-0.799999992052714,-0.799999992052714,1.0
15000,1.4180504,147.0,-0.049384158,2.1500000953674316,2.1500000953674316,1.0
15500,1.4201525,111.71428571428571,-0.10426986,1.7333333790302277,1.7333333790302277,1.0
16000,1.4211714,88.0,-0.17067538,-1.0,-1.0,1.0
16500,1.4211712,123.33333333333333,-0.09034226,-0.2199999898672104,-0.2199999898672104,1.0
17000,1.4211713,85.75,-0.32592112,-1.0,-1.0,1.0
17500,1.4211714,93.33333333333333,0.034543294,-1.0,-1.0,1.0
18000,1.4211713,88.25,-0.19678117,-0.5666666717992889,-0.5666666717992889,1.0
18500,1.4211713,86.0,-0.14213607,-0.44999998807907104,-0.44999998807907104,1.0
19000,1.4211712,80.66666666666667,-0.06801163,1.7200000762939454,1.7200000762939454,1.0
19500,1.4211713,86.4,-0.11035371,0.4333333571751912,0.4333333571751912,1.0
20000,1.4211713,119.71428571428571,-0.14665356,-0.25,-0.25,1.0
20500,1.4235978,86.14285714285714,-0.16244876,-0.32499998807907104,-0.32499998807907104,1.0
21000,1.4252083,123.33333333333333,-0.026427085,-1.0,-1.0,1.0
21500,1.4252081,68.6,-0.15320751,0.15000009536743164,0.15000009536743164,1.0
22000,1.4252083,93.5,-0.15587,1.2333335876464844,1.2333335876464844,1.0
22500,1.4252083,81.33333333333333,-0.16828676,-0.9499999980131785,-0.9499999980131785,1.0
23000,1.4252082,124.0,-0.098938435,1.8600000381469726,1.8600000381469726,1.0
23500,1.4252083,112.0,-0.15278497,-0.6,-0.6,1.0
24000,1.4252084,140.0,0.17639633,0.20000004768371582,0.20000004768371582,1.0
24500,1.4252083,119.4,-0.25579447,2.4600001335144044,2.4600001335144044,1.0
25000,1.4252084,113.8,-0.19952174,-0.8,-0.8,1.0
25500,1.4217364,94.0,-0.058526177,2.366666873296102,2.366666873296102,1.0
26000,1.4151943,178.0,-0.21296048,1.5499999523162842,1.5499999523162842,1.0
26500,1.4151943,139.33333333333334,0.2312274,0.4333333571751912,0.4333333571751912,1.0
27000,1.4151944,121.5,-0.31936073,5.960464477539063e-08,5.960464477539063e-08,1.0
27500,1.4151942,98.0,-0.08101973,-0.75,-0.75,1.0
28000,1.4151943,126.875,0.08411349,6.850000739097595,6.850000739097595,1.0
28500,1.4151943,113.0,-0.19183405,-1.0,-1.0,1.0
29000,1.4151942,115.33333333333333,0.047300916,7.133334477742513,7.133334477742513,1.0
29500,1.4151942,76.57142857142857,-0.12434751,-0.8571428571428571,-0.8571428571428571,1.0
30000,1.4151942,123.66666666666667,0.018692564,-0.6666666666666666,-0.6666666666666666,1.0
30500,1.4159869,149.5,0.031030914,-0.2666666656732559,-0.2666666656732559,1.0
31000,1.4178302,91.0,-0.08091494,4.7000004053115845,4.7000004053115845,1.0
31500,1.4178302,113.75,-0.11695346,-0.5333333313465118,-0.5333333313465118,1.0
32000,1.4178305,132.0,-0.3200654,1.9714288541248866,1.9714288541248866,1.0
32500,1.4178303,121.0,-0.10020381,-0.399999987334013,-0.399999987334013,1.0
33000,1.4178303,100.5,-0.27517965,1.7000002264976501,1.7000002264976501,1.0
33500,1.4178301,51.5,0.011034501,-0.899999996026357,-0.899999996026357,1.0
34000,1.4178303,157.75,-0.1347212,1.8333334922790527,1.8333334922790527,1.0
34500,1.4178305,138.25,-0.043179993,1.0600001335144043,1.0600001335144043,1.0
35000,1.4178301,51.5,-0.07932483,-1.0,-1.0,1.0
35500,1.4169655,142.0,-0.005721897,-0.09999998410542806,-0.09999998410542806,1.0
36000,1.4139413,104.0,-0.11113873,0.4400001525878906,0.4400001525878906,1.0
36500,1.4139411,134.4,-0.23070905,0.9833335876464844,0.9833335876464844,1.0
37000,1.4139413,107.625,-0.08612557,-0.2857142857142857,-0.2857142857142857,1.0
37500,1.4139413,124.0,0.06660735,1.0666667620340984,1.0666667620340984,1.0
38000,1.4139414,158.0,0.063822046,0.6500000059604645,0.6500000059604645,1.0
38500,1.4139413,None,0.09232241,11.600000381469727,11.600000381469727,1.0
39000,1.4139413,199.0,0.23346476,4.550000190734863,4.550000190734863,1.0
39500,1.4139414,115.0,0.22571042,2.5000000953674317,2.5000000953674317,1.0
40000,1.4139413,199.0,0.22885737,0.30000001192092896,0.30000001192092896,1.0
40500,1.4143883,184.0,-0.08467494,0.0,0.0,1.0
41000,1.416379,199.5,-0.123788655,-0.3333333333333333,-0.3333333333333333,1.0
41500,1.416379,123.25,0.22641595,3.8000005781650543,3.8000005781650543,1.0
42000,1.4163789,180.0,-0.19190623,-0.08571428912026542,-0.08571428912026542,1.0
42500,1.4163789,112.0,0.11459496,4.000000476837158,4.000000476837158,1.0
43000,1.4163787,94.0,0.20331533,4.120000238716602,4.120000238716602,1.0
43500,1.4163787,40.0,0.057300366,-1.0,-1.0,1.0
44000,1.416379,92.11111111111111,-0.11387167,-0.3333333333333333,-0.3333333333333333,1.0
44500,1.4163789,134.66666666666666,-0.08114867,3.200000286102295,3.200000286102295,1.0
45000,1.4163787,195.5,0.17214099,2.9000000953674316,2.9000000953674316,1.0
45500,1.4158635,141.75,0.17855993,0.800000011920929,0.800000011920929,1.0
46000,1.4132527,120.5,-0.20616813,-0.5,-0.5,1.0
46500,1.4132525,140.4,0.06327992,-0.3333333333333333,-0.3333333333333333,1.0
47000,1.4132527,199.5,0.20459673,0.6500000357627869,0.6500000357627869,1.0
47500,1.4132528,199.0,0.32755682,0.0,0.0,1.0
48000,1.4132526,128.5,0.1834079,-0.5,-0.5,1.0
48500,1.4132527,199.0,0.4942501,0.0,0.0,1.0
49000,1.4132525,199.0,0.3270089,16.20000123977661,16.20000123977661,1.0
49500,1.4132525,199.0,0.40815932,4.93333371480306,4.93333371480306,1.0
50000,1.4132527,185.0,0.23090386,1.4250001311302185,1.4250001311302185,1.0
50500,1.4135647,122.5,0.3145261,2.980000114440918,2.980000114440918,1.0
51000,1.4136487,157.75,0.34541678,4.580000281333923,4.580000281333923,1.0
51500,1.4136487,171.6,0.22655018,1.1249999701976776,1.1249999701976776,1.0
