Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
500,1.4189386,33.53333333333333,0.12906602,-1.0,-1.0,1.0
1000,1.4189383,61.888888888888886,0.18200828,-0.0444444285498725,-0.0444444285498725,1.0
1500,1.4189384,60.714285714285715,0.26068273,-0.8857142840112958,-0.8857142840112958,1.0
2000,1.4189385,43.5,-0.031405255,-1.0,-1.0,1.0
2500,1.4189385,79.6,0.078677416,0.9000000527926854,0.9000000527926854,1.0
3000,1.4189385,72.66666666666667,0.13995017,0.27500003576278687,0.27500003576278687,1.0
3500,1.4189385,76.0,0.081442475,-1.0,-1.0,1.0
4000,1.4189385,106.83333333333333,0.055353045,-0.016666630903879803,-0.016666630903879803,1.0
4500,1.4189385,86.16666666666667,0.08262197,-0.44999998807907104,-0.44999998807907104,1.0
5000,1.4189385,64.8,0.1784798,-0.6666666666666666,-0.6666666666666666,1.0
5500,1.4186898,116.14285714285714,-0.08726241,-1.0,-1.0,1.0
6000,1.4189004,92.0,0.134491,-0.5249999910593033,-0.5249999910593033,1.0
6500,1.4189005,95.5,0.15439363,-0.45000000298023224,-0.45000000298023224,1.0
7000,1.4189003,62.2,0.028757982,-0.4333333373069763,-0.4333333373069763,1.0
7500,1.4189001,51.111111111111114,-0.06519272,-0.7666666640175713,-0.7666666640175713,1.0
8000,1.4189001,55.25,0.008759343,-1.0,-1.0,1.0
8500,1.4189003,64.625,0.124179065,-0.7571428503308978,-0.7571428503308978,1.0
9000,1.4189001,43.857142857142854,0.03991157,-0.2999999910593033,-0.2999999910593033,1.0
9500,1.4189001,34.666666666666664,-0.13006811,-0.9333333373069763,-0.9333333373069763,1.0
10000,1.4189005,50.25,0.12464818,-0.26249998807907104,-0.26249998807907104,1.0
10500,1.4211134,38.111111111111114,0.020802498,-0.08749997615814209,-0.08749997615814209,1.0
11000,1.4229411,150.57142857142858,-0.031181542,2.3714291027614047,2.3714291027614047,1.0
11500,1.4229411,61.666666666666664,0.05880245,0.5666667222976685,0.5666667222976685,1.0
12000,1.422941,54.0,0.02970295,-0.13999999761581422,-0.13999999761581422,1.0
12500,1.4229411,66.5,0.15181366,0.0,0.0,1.0
13000,1.4229411,93.28571428571429,-0.19743155,-0.9714285731315613,-0.9714285731315613,1.0
